bloco;layout;col_b_raw;brand;category;descricao;rg;codigo_fabrica;status;tabela_bruta;multipl_desconto;custo;VENDA_DIRETA_MS;MS_DDOS;MS_DDOS_PRAZO;MS_ANDREI;SP_SP;SP_OUTROS;SP_RJ_MG_SUL;SP_MONTAGEM;OUTROS_ES;MG_RJ_SUL;DOURADOS_MS;flags
B1_MS;B;MENTA;;MENTA;FORRAGEIRA 1.2S S/ RODA E S/ CAMBÃO TELESCOPICO;NT;NT;;;;;;0;;0;0;0;0;;;;;SEM_CUSTO_TABELA|PRECO_MANUAL
B1_MS;B;MENTA;;MENTA;FORRAGEIRA 1.2S FORT COM RODA;NT;NT;;;;61200;;0;;0;0;0;0;;;;;PRECO_MANUAL
B1_MS;B;MENTA;;MENTA;FORRAGEIRA 1.2S PREMIUM;NT;NT;;;;106500;;0;;0;0;0;0;;;;;PRECO_MANUAL
B1_MS;B;MENTA;;MENTA;VAGÃO MISTURADOR GIROMIX 6.O DUO C/ CHUPIM;54108;NT;;;;130000;;0;;0;0;0;0;;;;;PRECO_MANUAL
B1_MS;B;"PULV ""CIMAG""";;"PULV ""CIMAG""";CIMAG PEC 600 COM BOMBA 3 PISTÕES E REABASTECEDOR;53918;NT;;;;8600;;13990;;12700;11900;12300;12700;;;;;PRECO_MANUAL
B1_MS;B;"PULV ""CIMAG""";;"PULV ""CIMAG""";"CIMAG PEC CROSS 2.000 COM 2 RODAS 24""";53919;NT;;;;29000;;44990;;42500;39500;41000;42500;;;;;PRECO_MANUAL
B1_MS;B;"PULV ""CIMAG""";;"PULV ""CIMAG""";"CIMAG PEC CROSS 2.000 COM 4 RODAS TANDEM 14.4X24"" (COMPRAR)";NT;NT;;;;34500;;49990;;49900;46900;48900;49900;;;;;PRECO_MANUAL
B1_MS;B;"PULV ""CIMAG""";;"PULV ""CIMAG""";"CIMAG PEC 2.000 COM 4 RODAS TANDEM 16""";53884;NT;;;;28500;;44490;;41900;38900;40500;41900;;;;;PRECO_MANUAL
B1_MS;B;PULVERIZADOR;;PULVERIZADOR;"PEK 600 TATU ""PESADO"" - 3 PONTO - 600 LITROS - BBA 75 L/MIN";52017;119040025;LQ FN;;;;;14990;;13990;;;;;;;;SEM_CUSTO_TABELA|PRECO_MANUAL
B1_MS;B;PULVERIZADOR;;PULVERIZADOR;"PEK 600 TATU ""LEVE"" - 3 PONTO - 600 LITROS - BBA 75 L/MIN";53736;119040036;;22187;;9353.15172;;13900;;13281.4754424;12159.097236;12533.2233048;12907.3493736;;;;;
